review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
"Good value, easy to order and a good local garage to fit the tyre.","['garage service positive', 'value for money positive', 'location positive']","5, 9, 7","(7, 9)","['garage service positive', 'value for money positive', 'location positive']","['location positive', 'value for money positive']"
Great Service. Not quite the cheapest this time but service at Protyre Weston-super-Mare excellent.,['value for money positive'],9,"(5, 9)",['value for money positive'],"['garage service positive', 'value for money positive']"
Good prices and good choice of fitting near me used many times before and will do in the future.,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Best price for tyres and easy to deal with.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good value and very wide choice of tyres, booking is easy and the fitting garage were very professional.","['value for money positive', 'ease of booking positive', 'garage service positive']","9, 3, 5","(3, 5, 9)","['value for money positive', 'ease of booking positive', 'garage service positive']","['ease of booking positive', 'garage service positive', 'value for money positive']"
The ordering and booking process was straight forward. However the fitting of the tyres was delayed so had to hang around for over 45mins longer than expected. Something beyond [REDACTED] influence.,['ease of booking positive'],3,(),['ease of booking positive'],[]
Tyres and fitting. Tyres ordered into my local ATS - cannot fault the service or price.,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
Easy to use website. Local friendly fitting station quality product at the right price,"['location positive', 'value for money positive', 'garage service positive']","7, 9, 5","(5, 7, 9)","['location positive', 'value for money positive', 'garage service positive']","['garage service positive', 'location positive', 'value for money positive']"
Does what it says. Good price promptly fitted does what it says on the tin what more can you say,"['length of fitting positive', 'value for money negative', 'value for money positive']","6, 8, 9","(6, 9)","['length of fitting positive', 'value for money negative', 'value for money positive']","['length of fitting positive', 'value for money positive']"
Great service fantastic price very pleased always use [REDACTED] for my tyres,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Very easy to order. Good communication. Excellent price. Delivered on time. Would use again.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Quality. Great price and Great service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy, cheaper, great garage!","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Easy to.ourchas3 fitting was good,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Very easy to use and relatively cheap,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good prices, easy to organise","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Great service at my local garage and great price from [REDACTED],"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Locally fitted tyres and great backup when needed,['garage service positive'],5,"(5, 7)",['garage service positive'],"['garage service positive', 'location positive']"
Cos the garage bm enterprises is excellent very professional and lovely people,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"The Web site is easy to use, excellent service in respect of delivery of tyres, fitting and price reasonable for premium tyres.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
good prices - good service - good fitters,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"This was my 1st experience in buying tyres online and I have to say I'm totally pleased that I chose [REDACTED]. The process of choosing and reading up about the tyres in my size and price range is very helpful and simple to do. And that also goes for choosing the garage and appointment time/date that suits me. The customer service is 1st class over the phone and in web chat forms. The phone app was recommended to me and I'll certainly be recommending it to other people I know. Prices are slightly cheaper than the majority of the market and knowing that the price I pay includes fitting and VAT means I don't need to separately pay the garage aswell. My experience with [REDACTED] was excellent. I will be using the service next time I require tyre services. Takes the worry out of searching, buying and arranging fittings!","['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
Good quick service and cost similar to competitors,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Very easy to find the correct tyres and book a local garage,"['location positive', 'ease of booking positive']","7, 3","(3, 7)","['location positive', 'ease of booking positive']","['ease of booking positive', 'location positive']"
Good value and service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Fantastic pricing and availability of different fitting stations!,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great prices and ease of use,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
lots of good fitters,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
The ture fitters recommended by you damaged my alloy wheels and denied responsibility. It will cost me £150-£180 to repair the damage. Not very cost effective.,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
superb on price and service as ever.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good prices on tyres, convenient fitting locations","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Good prices on the internet, fitting available within 2 days, great service at the fitting all done within 30 mins and a free coffee","['length of fitting positive', 'value for money positive']","6, 9","(6, 9)","['length of fitting positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
"easy to order, great choice, great price, easy local fitting.","['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
Tyre changed really quickly and very convenient being able to have the job done at home.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
Really simple to use great prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent value for money,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Satisfaction. From the start to the end professional excellent service and very reasonable pricesThe garage done a very excellent jobThank you gays,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Good service as always cheap tyres always buy from them.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"I received the service I expected that I had prepaid forI ordered on line, selected a fitting centre and appointment time then turned up and had the new tyres fitted that I had paid forI waited in the reception area and 30 - 40 minutes later I was on my way again Job doneThat's what I expectedSo I can't really add any more than thatNothing to complain about and nothing to be over exited about","['ease of booking positive', 'length of fitting positive', 'garage service positive']","3, 6, 5","(3, 5, 6)","['ease of booking positive', 'length of fitting positive', 'garage service positive']","['ease of booking positive', 'garage service positive', 'length of fitting positive']"
very good deal all fitted no fuss will be back for more tyres soon.best deal going cant fault them,"['garage service positive', 'value for money positive']","5, 9","(9,)","['garage service positive', 'value for money positive']",['value for money positive']
Yeah nice job. Reasonabke price and everything was ready when I arrived a Handforth Dean tesco. Professional staff all good.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Brilliant...from original enquiry to the fitting of the tyres.Would definitely recommend!!!!!,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Easy quick service. Cheaper than most places and arranged for fitment at a local garage on my day off work. Garage was friendly and helped swap wheels around as well as carried out extra work at the same time (wheel alignment, at extra cost).Will definitely use again.","['garage service positive', 'value for money positive', 'location positive']","5, 9, 7","(5, 7, 9)","['garage service positive', 'value for money positive', 'location positive']","['garage service positive', 'location positive', 'value for money positive']"
Great service and good price.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to order online, good price and good fitting service.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"Great choice, reliable, great prices",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good tyres at a good price. No silly hidden charges at the end like some other online tyre providers.Fitter was prompt, and very good. Did all 4 tyres in approx 30 mins on site.","['length of fitting positive', 'value for money positive']","6, 9","(6, 9)","['length of fitting positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
"Easy, straightforward and competitively priced. Welcombe garage fitted the tyres- friendly staff and very efficient. Highly recommend, will be using again.","['length of fitting positive', 'garage service positive', 'value for money positive']","6, 5, 9","(5, 6, 9)","['length of fitting positive', 'garage service positive', 'value for money positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
The website was great. Had the tyres I wanted at a good price and the options for fitting were great. However. I opted for the. Mobile tyre fitter and I chose a fitting in the pm 3 days from when I ordered. Granted I did order on a weekend but I was told I could get my tyres. I then got a phone call 5 minutes before 12pm to tell me the tyres would not be fitted that day as they didn't get to the fitter in time.. I had arranged a half day off work to do this. Not best pleased as the customer service agent didn't seem to bothered to have told me this news and it was OK for tomorrow. Just as well my work is flexible enough.,"['delivery punctuality negative', 'value for money positive']","1, 9","(9,)","['delivery punctuality negative', 'value for money positive']",['value for money positive']
"Convenient, easy and no trouble. Very happy with [REDACTED]. The local garage it was delivered to was below standard but this was not [REDACTED] issue",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Great clear pricing and good choice of availability,"['value for money positive', 'ease of booking positive']","9, 3","(9,)","['value for money positive', 'ease of booking positive']",['value for money positive']
"Website is very easy to use, products available are very varied, and I returned to a tried and trusted brand. Tyres were delivered to the fitting garage and the job was completed satisfactorily. This was followed by a four wheel alignment, at a reasonable price, and my new tyres make the car so much safer and more comfortable to drive.Many thanks to the guys at McConechy's in Inverness!!","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Really excellent customer service when fitting a tyre recently. Fitters very professional and friendly. Well done!,"['garage service positive', 'value for money positive']","5, 9","(5,)","['garage service positive', 'value for money positive']",['garage service positive']
"Good choice of tyres available at a good price. Easy to use website. Good choice of local garages and the one I chose, ATS Euromaster, was quick and efficient. Will use again.","['value for money positive', 'garage service positive', 'location positive', 'length of fitting positive']","9, 5, 7, 6","(5, 6, 7, 9)","['value for money positive', 'garage service positive', 'location positive', 'length of fitting positive']","['garage service positive', 'length of fitting positive', 'location positive', 'value for money positive']"
Buying tyres with [REDACTED] was so easy simple steps to find your tyre simple steps to pick your garage and time slot every thing was so so easy will definetly use again and the price was superb,"['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
Good price and easy local arrangement for fitting,"['location positive', 'value for money positive', 'ease of booking positive']","7, 9, 3","(3, 7, 9)","['location positive', 'value for money positive', 'ease of booking positive']","['ease of booking positive', 'location positive', 'value for money positive']"
"Great service, great prices & great fitter!","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Bad experience this time. Garage didnt balance wheels properly. Took car back and they rebalanced- car was even worse. I drove 500 miles to Scotland with a wobbly steering wheel. A [REDACTED] dealer in Scotland has hopefully sorted it today. I complained and to date no one at [REDACTED] has resolved my complaint after a chase up email sent yesterday. Poor service. However this is the first time I’ve had an issue like this hence I’ve awarded a 5 not a 0 which frankly is all you deserve on this showing !!,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Alignment problems. [REDACTED] delivery to installation partner was fine, so far as I know, but two weeks later I am still waiting for their repair of alignment machinery so that alignment can be carried out at the time of tyre fitment, which I view as basic. [REDACTED] should monitor these capabilities more closely and help fitment partners to resolve them.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Two front tyres fitted by Taylor’s.I very professional and friendly company,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Great service and great prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
excellent price and service,"['value for money positive', 'value for money positive']","9, 9","(9,)","['value for money positive', 'value for money positive']",['value for money positive']
Simple and easy. Quick and easy to find what tyres that were in my price range. I needed four tyres and made an appointment with garage of my choosing. Waited for a comfirmation email about my appointment which wasn’t long. Turned up at the garage and gave the advisor my printed receipt. Felt weird making payment in advance but it was nice and relaxing way to do it.,"['garage service positive', 'value for money positive', 'ease of booking positive']","5, 9, 3","(3, 9)","['garage service positive', 'value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Great tyres for the best price. Local fitting was faultless and done in less than an hour. You can even have them fitted at your place.Always use [REDACTED] and would recommend others to do so.,"['value for money positive', 'location positive']","9, 7","(6, 7, 9)","['value for money positive', 'location positive']","['length of fitting positive', 'location positive', 'value for money positive']"
I picked up that the weight on the inside of the wheel was loose and another customer was served and tyre sorted while he was doing mine.,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
It is so easy to purchase and get them fitted. You order them in from your home and turn up and they are waiting at the garage to be fitted 😁😁😁,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Easy, cheap",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy booking, appointment changed handled without an issue, all work as organised.",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Good price, selected the best grip/fuel efficient/noise combination.Local garage very good - used them many times before. Happy to do the [REDACTED] job - no issues","['value for money positive', 'length of fitting positive', 'location positive']","9, 6, 7","(6, 7, 9)","['value for money positive', 'length of fitting positive', 'location positive']","['length of fitting positive', 'location positive', 'value for money positive']"
"I used [REDACTED].com for the first time recently to replace 4 tyres. The website was easy to use and they offered the best price for the particular tyres I wanted. They arrange delivery to a local garage (in this case an ATS Euromaster) and it's straightforward to book a date for the fitting. You do pay in advance, but by doing so I knew what I was paying. The partner garage provided a great service too. Overall, a good experience getting my tyres via [REDACTED].com.","['garage service positive', 'ease of booking positive', 'value for money positive']","5, 3, 9","(3, 5, 9)","['garage service positive', 'ease of booking positive', 'value for money positive']","['ease of booking positive', 'garage service positive', 'value for money positive']"
"Excellent and flexible service both online and at our local centre in High Wycombe. Highly recommended, and will definitely return in future.","['garage service positive', 'location positive']","5, 7","(5, 7)","['garage service positive', 'location positive']","['garage service positive', 'location positive']"
"Great service even though tyres were late highly recommend. The tyres were not available at the allotted time for a fit that had been arranged. [REDACTED] contacted me immediately they found out that they could not deliver on time and arranged an alternative date for me! Terrific stuff. My tyres were fitted by ATS in Langney in Eastbourne, the centre is due to move shortly so the building was a tad neglected but the customer service was great.Cannot complain or gripe about anything, great price and great service","['garage service positive', 'delivery punctuality negative', 'value for money positive']","5, 1, 9","(1, 5, 9)","['garage service positive', 'delivery punctuality negative', 'value for money positive']","['delivery punctuality negative', 'garage service positive', 'value for money positive']"
"I used [REDACTED] for the first time and found them to be a very reliable company who supplied me with good tyres, fitted, at a good price. It couldn't have been easier.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Another great value and easy purchase from [REDACTED], there is always a great choice of premium tyres at competitive prices and factor in the convenient fitting arrangements and you have a real winner. I will certainly use them again.",['value for money positive'],9,"(3, 9)",['value for money positive'],"['ease of booking positive', 'value for money positive']"
Easy to use website with informative and useful information. Good prices and handy being able to pick a time for fitting.,"['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
"Easy to use website with useful and informative info. Especially useful being able to select a time/date for fitting...oh, and good prices too!Have used several times.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"For all your tyre needs. Great range, prices and service! Loads of locations for fitting. Easy and hassle free from start to finish. Highly recommend [REDACTED].","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Easy to order online and great service form the garage. Always use [REDACTED].com. Normally the least expensive for premium tyres and fitting stations local.Excellent again, thank you.","['garage service positive', 'value for money positive', 'location positive']","5, 9, 7","(7, 9)","['garage service positive', 'value for money positive', 'location positive']","['location positive', 'value for money positive']"
Really easy to arrange.. Very happy with the service.,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Great value tyres. Big savings against high street with the option to get fitted at a garage to suit you.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Amazingly convenient and the best price I could find,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Value for money... tick... however the delivery by the garage versus expectation... our survey says... eeh eeh.. (Family fortunes sound!!) Not good at all. Turned up asap for the first come first served your site instructed for the AM fitting and was told it was booked for midday and I eventually was allowed to pick up at 2.30pm...,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Quality Service. Cheaper tyresEasy to organise fittingGreat website.,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Good prices, easy purchase and fitter service was fast and friendly. Totally hassle free.","['length of fitting positive', 'value for money positive']","6, 9","(6, 9)","['length of fitting positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
Prices are good but not the absolute best. Service and booking is great though!,['value for money negative'],8,"(8, 9)",['value for money negative'],"['value for money negative', 'value for money positive']"
"Quick, efficient, professional, friendly, well priced. Happy customer.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Brilliant price and fitted at my local garage as well totally happy.,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Great product/price, v easy to use (although a morning appointment does apparently stretch until 1pm if using the mobile service!)",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy to select the right tyres and get them delivered to the garage of my choice for fitting at a time that suited me,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Cannot fault [REDACTED] but the garage I had my tyres fitted tried to rip me off. LAWS TYRES Bridge of Don. Read their Google reviews before having your tyres fitted here.,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Good quality tyres and service at a decent price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to use website. Good selection of cheap tyres. Selected, paid and installed locally. No issues what so ever, the way it should be. Thank you so much","['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
Branded Tyres at a Good Price. Online process is easy and the fitting done by a local garage.Price was the best I could find for the Avon tyres I wanted.,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Unlikely to use again. Ordered 2 tyres, got informed Wed 3pm the day before the fitting appointment at 9.30a.m on the Thurs that the tyres wouldn't be available for fitting until Sat. Given that I was taking the car on holiday on the Fri, I was left to find somewhere else at very short notice to get the tyres I wanted fitted in time. Would have given 1 star, but the customer service guy (who I eventually got through to) was really nice and helpful under the circumstances, and sorted out the refund quickly.","['delivery punctuality negative', 'change of date negative']","1, 0","(0, 1)","['delivery punctuality negative', 'change of date negative']","['change of date negative', 'delivery punctuality negative']"
"This was the first time I have purchased tyres online, the experience was extremely easy with a wide choice of tyres and at very competitive prices along with a good choice of local partners to have your tyres fitted, I will definitely use [REDACTED].com again.","['location positive', 'value for money positive', 'ease of booking positive']","7, 9, 3","(3, 7, 9)","['location positive', 'value for money positive', 'ease of booking positive']","['ease of booking positive', 'location positive', 'value for money positive']"
Decent price but had to travel to get the tyres I wanted quick enough,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy, efficient, well-priced service. It gave me a full range of options on tyres and pricing and made it clear the difference between the efficiency of each tyre. I even found a tyre fitter who would travel to me for a small price. Excellent.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"I have had a great experience with [REDACTED]. I just have an issue with the garage that fitted them. They were trying to add extra jobs of cleaning my alloys and sealing as they advised they were badly corroded for a mere £80 for two alloys. Thankfully I refused, I had them checked out by another garage who said they wouldn't charge to do such a thing and that my alloys were fine anyway. STAY AWAY from Laws Tyres, Bridge of Don! [REDACTED], I cant fault, the tyres were a little later than agreed but I was given plenty of notice to re-schedule, communication was great. I will choose [REDACTED] again but deliver to another garage",['garage service positive'],5,"(4,)",['garage service positive'],['garage service negative']
"Fast easy service, no hassle, let me know the appointment time as well.",['ease of booking negative'],2,"(3,)",['ease of booking negative'],['ease of booking positive']
The first & last time I will ever use you. I am still waiting for my tyres to be done. You took £190+ from my account straight away. You then cancelled the first job. I complained & was assured it was booked in for a few days later. I was also told I would be refunded for the cost of them coming directly to my house. Wiltshire Tyres then called me that morning to say they had to chase YOU up as YOU had not re-booked my tyres with them. Wiltshire Tyres then called me again today as they were due to come to my house tomorrow 9am-1pm. They informed me that their driver is sick and now I have to drive my car to Andover (40 miles away) to get the tyres fitted. Absolutely TERRIBLE service and I shall pass my experience on to everyone I know.,"['change of date negative', 'ease of booking negative']","0, 2","(0, 2)","['change of date negative', 'ease of booking negative']","['change of date negative', 'ease of booking negative']"
"Had my original choice of tyres cancelled, was given another set to choose from which I had no choice but to agree becouse they were the only option available to me. Then the next day another email saying I had to change my fitting day becouse the said tyres would not arrive in time. I rang and spoke to a lady and got it sorted eventually and an over of some kind of compensation was given which when the next email arrived nothing was mentioned about. So all in all not very happy at all.","['delivery punctuality negative', 'change of date negative']","1, 0","(0, 1)","['delivery punctuality negative', 'change of date negative']","['change of date negative', 'delivery punctuality negative']"
Best price and added discount on 4 tyres . Timescale was a couple of days to fully fit locally at chosen garage. Ultimately you can’t be beaten on price or service time,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Very competitive pricing, a good choice of brands and easy tyre fitting arrangement.","['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
Good service by [REDACTED]. [REDACTED] provided a good service at a good price. Only let down was the filters at the local garage they also did a good job but could have been more careful around the cars with jacks and tools and could have taken more care with my diamond cut alloys. They didn’t cause any damage but the potential to have caused damage was quite high.,"['value for money positive', 'garage service positive', 'location positive']","9, 5, 7","(5, 7, 9)","['value for money positive', 'garage service positive', 'location positive']","['garage service positive', 'location positive', 'value for money positive']"
"Easy, good garage, professional and reliable",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
good service and best price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy web site to use at competitive prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
very good customer service with findingself explantory. very good customer service with finding the tyres and arranging the time of appointment,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Good price for the tyres I wanted. Fitting on time on day of appointment. No down-sides.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"[REDACTED] is the only place to buy tyres. Huge range of quality products at exceptional prices. From ordering online, booking a date and time, payment and confirmation and then tyres changed professionally by a reputable company, it is a seamless exercise throughout. Five star all the way by a company you can trust. Have used [REDACTED] for many years, would not consider anywhere else.","['value for money positive', 'ease of booking positive', 'garage service positive']","9, 3, 5","(3, 9)","['value for money positive', 'ease of booking positive', 'garage service positive']","['ease of booking positive', 'value for money positive']"
Great pricing and excellent local fitting service,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Tyres arrived by 2 days. Excellent service at my local garage - Kilgannon Motors.,"['location positive', 'garage service positive']","7, 5","(5, 7)","['location positive', 'garage service positive']","['garage service positive', 'location positive']"
"Never going there again. Used the Bletchley depot, The service i got was disgusting. THe staff were more interested in chatting up the young lass in a skimpy top. Took them nearly an hr to change just 2 tyres. Wheels were so badly balanced that I had to get them redone. Where I also found out that the spigot hub rings had been lost so have been driving a car thats been shaking as I drive.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Good price, excellent customer service very knowledgable",['value for money positive'],9,"(5, 9)",['value for money positive'],"['garage service positive', 'value for money positive']"
